CODIGO;FOTO;DESCRIPCION DEL PRODUCTO;ACTIVO;STOCK;
251-6;N/D;CAJA PLAST. P/ HIERRAMIENTA C/ BDJ 36X14,5X21CM;S;;
260-8;N/D;CAJA SUNIDO PORTATIL USB/FM/BLUT.;S;1;
1933-0;N/D;CALIBRADOR A AIRE 25D (TL37809);S;5;
2024-4;N/D;CAMARA P/ MOTO 275X18;S;17;
269-1;N/D;CAMARA P/ MOTO 300X18;S;14;
282-0;N/D;CANDADO 30MM 12PZ*XXXXXXXXXXXXXXXXXXXXXX;S;;
280-6;N/D;CANDADO CABLE BICICLETA TL42205;S;43;
2093-0;N/D;CANDADO EN BLISTER 30MM ECON.;S;30;
2094-7;N/D;CANDADO EN BLISTER 40MM ECON.;S;24;
1819-7;N/D;CANDADO EN BLISTER 50MM ECON.TL43887;S;-6;
1820-3;N/D;CANDADO EN BLISTER 60MM ECON.TL43888;S;-9;
2036-7;N/D;CANDADO EN BLISTER 70MM ECON.TL43889;S;29;
2046-6;N/D;CANDADO EN CAJITA 50MM ECON.TL38766;S;27;
2023-7;N/D;CANDADO EN CARTELADO 20MM ECON.C/12PZ;S;4;
2078-7;N/D;CANDADO EN CARTELADO 25MM ECON.C/12PZ;S;168;
2079-4;N/D;CANDADO EN CARTELADO 30MM ECON.C/12PZ;S;156;
2080-0;N/D;CANDADO EN CARTELADO 40MM ECON.12PZ;S;132;
2081-7;N/D;CANDADO EN CARTELADO 50MM ECON.C/6PZ;S;42;
297-4;N/D;CANILLA PLAST. 3/4 10CM BLANCA;S;127;
2049-7;N/D;CANILLA PLAST. 3/4 15CM BLANCA;S;89;
299-8;N/D;CANILLA PLAST. LAVATORIO 1/2 BLANCA;S;64;
2026-8;N/D;CANILLA PLAST. NEGRA 1/2 C/ADAPTADOR 3/4;S;169;
302-5;N/D;CANILLA PLASTICA 1/2 NEGRA;S;98;
303-2;N/D;CANILLA PLASTICA 3/4 NEGRA;S;107;
306-3;N/D;CANIVETE BROWNING 22CM NF6594;S;1;
321-6;N/D;CAPA P/LLUVIA ADULTO COL. C/BOTON;S;39;
